Site,Lat,Lon
1,37.11270465,-122.3127005
2,37.11129082,-122.3061434
3,37.10212527,-122.3283155
4,36.97198693,-121.9436655
5,36.97569098,-122.1468313
6,36.97447872,-122.1496546
7,36.97178158,-122.1429347
8,36.97092899,-122.1411947
9,36.96939596,-122.1404873
10,36.96479785,-122.134164
11,36.96085245,-122.1225674
12,36.96632448,-121.9527369
13,36.95991832,-121.9598523
14,36.95696415,-121.9948742
15,36.95688498,-121.96364
16,36.95437708,-121.9822733
17,36.95350018,-122.1036286
18,36.95170203,-121.972862
19,36.95121826,-122.0921643
20,36.95066196,-122.0254301
21,36.94936917,-122.0355462
22,36.94871924,-122.0801544
23,36.94927845,-122.0439651
24,36.9469401,-122.0572698
25,36.9465778,-122.0628665
26,36.94712514,-122.0515788
27,36.94654831,-122.0691272
28,36.64038171,-121.9374561
29,36.63887008,-121.9272952
30,36.6330281,-121.9206757
31,36.63479814,-121.9443534
32,36.62527454,-121.9115499
33,36.62015134,-121.9525603
34,36.61962322,-121.9003027
35,36.61607497,-121.8970052
36,36.61239659,-121.8958342
37,36.61369474,-121.9602198
38,36.60609077,-121.8785642
39,36.60559986,-121.9674998
40,36.60119727,-121.9683027
41,36.5922433,-121.9690452
42,36.5864838,-121.9717468
43,36.58301217,-121.9790766
44,36.57378365,-121.9765362
45,36.56606675,-121.9691266
46,36.56210392,-121.965196
47,36.56210315,-121.9595056
48,36.56067333,-121.940979
49,36.56195637,-121.9506675
50,36.55332709,-121.9371657
51,36.54795108,-121.9367144
52,36.54022566,-121.9356682
53,36.53191398,-121.9287287
54,36.52545137,-121.9324038
55,36.52374529,-121.9402779
56,36.5195128,-121.9572078
57,36.51512451,-121.9527687
58,36.51031088,-121.9459713
59,36.50392867,-121.9419738
60,36.49680311,-121.9444928
61,36.48723278,-121.9472311
62,36.48057001,-121.9432786
63,36.47203575,-121.9399945
64,36.46476012,-121.9333195
65,36.45847917,-121.9298764
66,36.45153891,-121.9327274
67,36.44237324,-121.9268878
68,36.43272503,-121.9264355
69,36.42705104,-121.9212855
70,36.41895977,-121.9195504
71,36.41156215,-121.9182386
72,36.40270599,-121.914822
73,36.39616311,-121.9092035
74,36.38952234,-121.9075002
75,36.38087561,-121.9079437
76,36.37094093,-121.908067
77,36.36605982,-121.9065917
78,36.36015616,-121.9079422
79,36.3475398,-121.9038042
80,36.3419429,-121.9006349
81,36.33729498,-121.8998258
82,36.32811251,-121.9020879
83,36.31386154,-121.9021743
84,36.3042719,-121.9026914
85,36.29635678,-121.8969858
86,36.29467617,-121.8903279
87,36.28443466,-121.8866092
88,36.2812741,-121.8768665
89,36.27440795,-121.8665645
90,36.27319274,-121.860011
91,36.26578878,-121.8554603
92,36.2625328,-121.8509976
93,36.23189849,-121.810037
94,36.23165503,-121.8038749
95,36.22891949,-121.7927091
96,36.22537185,-121.7859604
97,36.22162787,-121.7733135
98,36.21657095,-121.7663626
99,36.21242715,-121.759329
100,36.20902136,-121.75376
101,36.20466127,-121.7447583
102,36.20007667,-121.7310553
103,36.19599683,-121.7236319
104,36.18927526,-121.7141792
105,36.18486724,-121.7087734
106,36.17789093,-121.7024617
107,36.17181072,-121.6947321
108,36.16640374,-121.6855402
109,36.1629487,-121.6791007
110,36.15414248,-121.6718773
111,36.14907263,-121.6659856
112,36.13931076,-121.6589193
113,36.13363679,-121.653468
114,36.12663647,-121.647981
115,36.12135261,-121.639572
116,36.11388262,-121.6341967
117,36.10631074,-121.6298238
118,36.09885614,-121.6264763
119,36.09106088,-121.6232497
120,36.08337364,-121.6188621
121,36.07444634,-121.6121292
122,36.06942749,-121.6056993
123,36.06697379,-121.5990733
124,36.04215912,-121.5873799
125,36.03540796,-121.5835717
126,36.02692327,-121.5804445
127,36.01988698,-121.5745181
128,36.0154568,-121.5658875
129,36.01458952,-121.5563504
130,36.01613058,-121.5465569
131,36.01284068,-121.5340409
132,36.00889987,-121.5255269
133,36.00624965,-121.5181691
134,36.00220926,-121.5080424
135,35.991186,-121.5009417
136,35.98542053,-121.4970119
137,35.97668147,-121.4920672
138,35.9712413,-121.4900004
139,35.95984264,-121.4883056
140,35.95291502,-121.4876854
141,35.94256962,-121.4833114
142,35.93115231,-121.4797255
143,35.91717848,-121.4775856
144,35.91084703,-121.4734722
145,35.90670453,-121.4675073
146,35.89653798,-121.471504
147,35.88873533,-121.467264
148,35.88090348,-121.4581485
149,35.87497242,-121.4524707
150,35.86889513,-121.4470514
151,35.86366816,-121.4377982
152,35.86037724,-121.4299398
153,35.85644375,-121.4190759
154,35.85032105,-121.412578
155,35.84123048,-121.4089836
156,35.8350907,-121.4024758
157,35.82752118,-121.3962479
158,35.82102046,-121.390193
159,35.8155501,-121.3807454
160,35.81003651,-121.3761624
161,35.80673667,-121.3649835
162,35.80127082,-121.3567574
163,35.79502856,-121.3499934
164,35.78894157,-121.3431684
165,35.78439427,-121.3377621
166,35.74004379,-121.3262558
167,35.73387773,-121.3203306
168,35.72325126,-121.3252718
169,35.71249137,-121.3216898
170,35.70447985,-121.3107308
171,35.69587906,-121.3057605
172,35.69135151,-121.2992043
173,35.66298391,-121.2838969
174,35.66415278,-121.2766524
175,35.66083143,-121.2693205
176,35.65997258,-121.2626394
177,35.65667856,-121.2570515
178,35.65107559,-121.2505217
179,35.64623897,-121.2408474
180,35.64244731,-121.2304193
181,35.64163686,-121.221941
182,35.63733648,-121.2135187
183,35.63913903,-121.1831767
184,35.63650825,-121.1771387
185,35.63293045,-121.1915809
186,35.63353583,-121.1997017
187,35.63246127,-121.1704015
188,35.62388868,-121.1623343
189,35.61675597,-121.1570092
190,35.60964349,-121.151169
191,35.60126426,-121.1455059
192,35.59622329,-121.138715
193,35.59014464,-121.1334317
194,35.58256613,-121.1289668
195,35.57380439,-121.1250312
196,35.56942823,-121.1201712
197,35.56030749,-121.1140574
198,35.5526085,-121.1099713
199,35.54450395,-121.1057863
200,35.53910171,-121.0987411
201,35.53087622,-121.0915343
202,35.52688371,-121.0842299
203,35.51983307,-121.0769681
204,35.51324159,-121.0706614
205,35.50449668,-121.0635384
206,35.49944498,-121.0564556
207,35.49411243,-121.0514433
208,35.48601126,-121.0440876
209,35.48172154,-121.0373124
210,35.47752921,-121.0305561
211,35.47284602,-121.0248579
212,35.46655201,-121.0185673
213,35.46053903,-121.0123046
214,35.45697329,-121.0028344
215,35.45592235,-120.989578
216,35.45419888,-120.9829925
217,35.45420217,-120.9765094
218,35.45008673,-120.9620858
219,35.44695202,-120.9569381
220,35.44332374,-120.9130903
221,35.44278173,-120.9293861
222,35.44223047,-120.9521667
223,35.43919481,-120.9441581
224,35.27382079,-120.9008506
225,35.24942022,-120.9005589
226,35.24255578,-120.8970449
227,35.23667468,-120.8917465
228,35.23051141,-120.8848869
229,35.22611349,-120.8789498
230,35.21706704,-120.8694286
231,35.21543243,-120.8652169
232,35.20299774,-120.8493563
233,35.19997739,-120.8441448
234,35.19466989,-120.8345421
235,35.19157911,-120.8263171
236,35.1871797,-120.8202512
237,35.17664535,-120.7407165
238,35.1717996,-120.7197608
239,35.17136266,-120.7256618
240,35.16823767,-120.7086851
241,35.16555022,-120.7024032
242,35.16196837,-120.6983416
243,35.15739399,-120.6910395
244,35.15394771,-120.6819486
245,35.14989154,-120.6679543
246,34.73358521,-120.6299289
247,34.73087984,-120.6241824
248,34.55493027,-120.605817
249,34.54320728,-120.5715557
250,34.54089718,-120.5649232
251,34.53883163,-120.5519407
252,34.53697264,-120.5452209
253,34.53144949,-120.5341134
254,34.5267371,-120.5285757
255,34.52159104,-120.5211947
256,34.51712921,-120.5143825
257,34.50965946,-120.510918
258,34.50347808,-120.504742
259,34.49482526,-120.5030415
260,34.48869502,-120.4975157
261,34.48190752,-120.4909994
262,34.47843523,-120.485594
263,34.47215392,-120.1399115
264,34.47203599,-120.1479918
265,34.46864148,-120.1242244
266,34.46904605,-120.1856303
267,34.4672136,-120.2953244
268,34.47005469,-120.1644629
269,34.46523816,-120.3004911
270,34.46738371,-120.2870728
271,34.46791059,-120.2713314
272,34.46716653,-120.2768958
273,34.46773296,-120.266302
274,34.46254454,-120.2566461
275,34.46039288,-120.4792011
276,34.46421958,-120.1084422
277,34.46219469,-120.315841
278,34.45948663,-120.0711751
279,34.46063525,-120.0636454
280,34.45721528,-120.3329996
281,34.46123256,-120.042727
282,34.46019838,-120.0564583
283,34.45969091,-120.093908
284,34.45867313,-120.0879143
285,34.4545582,-120.352581
286,34.44559983,-120.3718726
287,34.45136575,-120.3584894
288,34.44472911,-120.3798844
289,34.44772593,-120.3648243
290,34.44354367,-120.3912133
291,34.44681478,-120.401586
292,34.44703585,-120.4095957
293,34.45716255,-120.4791715
294,34.44752148,-120.4442081
295,34.4484355,-120.4359956
296,34.44491962,-120.4176292
297,34.44716798,-120.4280178
298,34.44244016,-120.4515567
299,34.4455487,-119.9793146
300,34.43987065,-119.9667687
301,34.43176697,-119.9565224
302,34.43232761,-119.9447813
303,34.43069178,-119.9335081
304,34.42998217,-119.9293404
305,34.42891457,-119.9222456
306,34.42465174,-119.9124184
307,34.41984211,-119.9041158
308,34.41709814,-119.6041044
309,34.41773163,-119.8968433
310,34.41681985,-119.6245375
311,34.41416472,-119.7945463
312,34.41456978,-119.8103047
313,34.41407694,-119.8206986
314,34.41218587,-119.6411906
315,34.41477228,-119.5949664
316,34.40949122,-119.5725728
317,34.40743142,-119.8834388
318,34.40892358,-119.7766727
319,34.4052546,-119.86762
320,34.40464119,-119.8578022
321,34.40495783,-119.8770989
322,34.40495461,-119.838766
323,34.39402915,-119.561708
324,34.40332297,-119.8463933
325,34.40279135,-119.7564497
326,34.39911252,-119.741178
327,34.39242772,-119.5453329
328,34.39518464,-119.730497
329,34.39592384,-119.7021406
330,34.39168436,-119.5377471
331,34.39389849,-119.7155851
332,34.39138254,-119.5311584
333,34.3888005,-119.5213204
334,34.34522843,-119.4314517
335,34.34031301,-119.4236242
336,34.31409473,-119.3718351
337,34.31056849,-119.3669686
338,34.30741468,-119.362063
339,34.29053851,-119.3433675
340,34.06177804,-118.9917739
341,34.06045243,-118.9880814
342,34.04871074,-118.966558
343,34.04571913,-118.9595737
344,34.04435456,-118.9510943
345,34.04228544,-118.9361041
346,34.03866207,-118.916366
347,34.0365211,-118.591235
348,34.03650727,-118.8993586
349,34.03613344,-118.60432
350,34.03557716,-118.8805229
351,34.03522232,-118.8891891
352,34.03546359,-118.8732991
353,34.03439703,-118.8698209
354,34.03306102,-118.865346
355,34.02979612,-118.6812433
356,34.03016193,-118.7434364
357,34.02903748,-118.6966729
358,34.02839991,-118.7012753
359,34.03032881,-118.7182642
360,34.02764161,-118.7491131
361,34.02811032,-118.7068951
362,34.02506562,-118.753545
363,34.02331983,-118.7605597
364,34.02089174,-118.7723331
365,34.0179979,-118.7822397
366,34.01617581,-118.7858634
367,34.01516479,-118.7874022
368,34.00900017,-118.7891594
369,34.0050519,-118.795352
370,33.80394392,-118.4005917
371,33.80243343,-118.4065227
372,33.79553422,-118.4116183
373,33.79049754,-118.4185673
374,33.78510977,-118.4260232
375,33.77536655,-118.4305195
376,33.76821235,-118.4269119
377,33.763655,-118.4247693
378,33.76094295,-118.4212707
379,33.75390559,-118.4163151
380,33.74949576,-118.4160726
381,33.74417717,-118.414852
382,33.74003151,-118.4100553
383,33.73907278,-118.3889906
384,33.73946858,-118.3814071
385,33.73767217,-118.4031553
386,33.73505357,-118.3662156
387,33.73580076,-118.3981155
388,33.72588183,-118.3506908
389,33.72249911,-118.3421659
390,33.72124882,-118.3396955
391,33.71958182,-118.3349268
392,33.71713124,-118.3285509
393,33.71479962,-118.3246583
394,33.71212664,-118.3167043
395,33.70992561,-118.3088885
396,33.7070366,-118.3007233
397,33.7037514,-118.2887974
398,33.58774652,-117.86896
399,33.58136853,-117.8612153
400,33.5642234,-117.8364838
401,33.56262015,-117.8317019
402,33.54074678,-117.7922567
403,33.53734142,-117.7848574
404,33.53165208,-117.7815087
405,33.49454542,-117.7438297
406,33.47795022,-117.7306715
407,33.47596322,-117.7296849
408,33.47258743,-117.7278828
409,33.46888736,-117.7242904
410,33.46315305,-117.7215096
411,33.45674909,-117.7179385
412,33.42765383,-117.6487657
413,33.41176454,-117.6296171
414,33.40311806,-117.6226932
415,33.39611288,-117.6161944
416,33.39228925,-117.6123712
417,33.38121271,-117.606256
418,33.37311251,-117.598223
419,33.34517339,-117.5688374
420,33.3468291,-117.565227
421,33.34665975,-117.5620334
422,33.34311993,-117.5578622
423,33.29990136,-117.5048579
424,33.29228679,-117.4942693
425,33.28751747,-117.489904
426,33.28469984,-117.4873874
427,33.15630293,-117.361244
428,33.14494293,-117.3514531
429,33.12947688,-117.3431168
430,33.12568441,-117.3405924
431,33.10071641,-117.326666
432,33.07672619,-117.3189326
433,33.07200337,-117.3165213
434,33.06275365,-117.3122153
435,33.05462916,-117.3074474
436,33.03499081,-117.3011051
437,33.0293073,-117.2964516
438,33.02270359,-117.2931923
439,33.01428351,-117.289954
440,32.99815889,-117.2855209
441,32.98831988,-117.2839782
442,32.97958987,-117.2788532
443,32.95882493,-117.2776034
444,32.85370202,-117.2797482
445,32.84719426,-117.2917826
446,32.83695211,-117.2972083
447,32.82822187,-117.2905297
448,32.81561934,-117.2906154
449,32.80553616,-117.2833078
450,32.74249567,-117.2655176
451,32.733101,-117.2700596
452,32.71491404,-117.2703227
453,32.69347736,-117.2671128
454,32.67365811,-117.2617996
455,32.65688299,-117.2508669
456,32.58252366,-117.1560617
457,32.57617654,-117.1585332
458,32.56277229,-117.157984
459,32.52039333,-117.1392769
460,32.51586956,-117.1365998
461,32.50723651,-117.1318343
